Language,Ethnologue Code
Somali,SOM
Songhay,HMB
"Sotho, Southern",SOT
Susu,SUS
Svan,SVA
Swahili,SWH
Swedish,SWE
Tagalog,TGL
Tahitian,TAH
Tamil,TAM
Tee,TKQ
Telugu,TEL
Thai,THA
"Thai, Northern",NOD
Themne,TEM
Tibetan,BOD
Tigrigna,TIR
Titan,TTV
Tiv,TIV
Tiwi,TIW
Toda,TCX
Tok Pisin,TPI
Tongan,TON
Tsonga,TSO
Tsou,TSU
Tübatulabal,TUB
Turkish,TUR
"Tzotzil, Huixtán",TZU
Ubykh,UBY
Ukrainian,UKR
Urdu,URD
Urhobo,URH
Vai,VAI
Venda,VEN
Vietnamese,VIE
Vlaams,VLS
Wa,WBM
Wahgi,WGI
Waray-Waray,WAR
Wari,PAV
Warlpiri,WBP
Welsh,CYM
Wikmungkan,WIM
Wolof,WOL
Xhosa,XHO
!Xóõ,NMN
!Xũ,KTZ
Yakima,YAK
Yanyuwa (Yanula),JAO
Yeyi,YEY
Yi,III
Yiddish,YDD
Yindjibarndi,YIJ
Yoruba,YOR
"Zapotec, Tlacolulita",ZPK
Zulu,ZUL
