lang	file	raw	intermediate1	intermediate2	updated
abk	abk-002-073	aχᵊrdzɛ̈	a χ r d z ɛ̈	aχrdzɛ̈	aχrdzɛ̈
abk	abk-002-074	aiˇχæ̈́	a i χ æ̈	aiχæ̈	aiχæ̈
abk	abk-002-077	ˈäχᵊrɛ̈	ä χ r ɛ̈	äχrɛ̈	äχrɛ̈
abk	abk-002-078	aχᵊrdzɛ̈	a χ r d z ɛ̈	aχrdzɛ̈	aχrdzɛ̈
abk	abk-002-079	aiˇχæ̈́	a i χ æ̈	aiχæ̈	aiχæ̈
abk	abk-002-080	amʒɤ̈́	a m ʒ ɤ̈	amʒɤ̈	amʒɤ̈
abk	abk-002-083	ˈaχʲtʰɛ̈	a χʲ tʰ ɛ̈	aχʲtʰɛ̈	aχʲtʰɛ̈
abk	abk-002-084	ˈaχʲɾɛ̈	a χʲ ɾ ɛ̈	aχʲɾɛ̈	aχʲɾɛ̈
abk	abk-002-085	aχʲɘ́ts	a χʲ ɘ t s	aχʲɘts	aχʲɘts
abk	abk-002-090	atsᵊʁʷərə	a t s ʁʷ ə r ə	atsʁʷərə	atsəʁʷərə
abk	abk-002-097	aχɘ́	a χ ɘ	aχɘ	aχɘ
abk	abk-002-098	aχáɡə	a χ a ɡ ə	aχaɡə	aχaɡə
abk	abk-002-101	ˀaχáˑ	ˀa χ a	ˀaχa	ˀaχa
abk	abk-002-102	aχəra	a χ ə r a	aχəra	aχəra
abk	abk-002-103	aχʷɘ́	a χ ɘ	aχɘ	aχɘ
abk	abk-002-105	adχʷa	a d χ a	adχa	adχa
abk	abk-002-106	anχʷa	a n χ a	anχa	anχa
ace	ace-000-000	padjan	p a d j a n	padjan	padjan
ace	ace-000-001	padjoh	p a d j o h	padjoh	padjoh
ace	ace-000-002	sampoh	s a m p o h	sampoh	sampoh
ace	ace-000-003	leuhop	l e u h o p	leuhop	leuhop
ace	ace-000-004	batei	b a t e i	batei	batei
ace	ace-000-007	takot	t a k o t	takot	takot
ace	ace-000-008	tamong	t a m o n q̠	tamonq̠	tamoŋ
ace	ace-000-009	buta	b u t a	buta	buta
ace	ace-000-010	batat	b a t a t	batat	batat
ace	ace-000-011	dada	d a d a	dada	dada
ace	ace-000-012	daja	d a j a	daja	daja
ace	ace-000-013	aleuhat	a l e u h a t	aleuhat	aleuhat
ace	ace-000-014	kama	k a m a	kama	kama
ace	ace-000-025	bagah	b a q̠ a h	baq̠ah	baɡah
ace	ace-000-026	saboh	s a b o h	saboh	saboh
ace	ace-000-027	basah	b a s a h	basah	basah
ace	ace-000-028	peudaih	p e u d a i h	peudaih	peudaih
ace	ace-000-029	lhok	l h o k	lhok	lhok
ace	ace-000-030	malam	m a l a m	malam	malam
ace	ace-000-031	pasai	p a s a i	pasai	pasai
ace	ace-000-032	ma	m a	ma	ma
ace	ace-000-033	leumak	l e u m a k	leumak	leumak
ace	ace-000-034	malam	m a l a m	malam	malam
ace	ace-000-035	nan	n a n	nan	nan
ace	ace-000-036	peunan	p e u n a n	peunan	peunan
ace	ace-000-037	ngon	n q̠ o n	nq̠on	ŋon
ace	ace-000-038	beungah	b e u n q̠ a h	beunq̠ah	beuŋah
ace	ace-000-039	bungong	b u n q̠ o n q̠	bunq̠onq̠	buŋoŋ
ace	ace-000-040	wo	w o	wo	wo
ace	ace-000-041	tjawo	t j a w o	tjawo	tjawo
ace	ace-000-042	towow	t o w o w	towow	towow
ace	ace-000-043	rap	r a p	rap	rap
ace	ace-000-044	mirah	m i r a h	mirah	mirah
ace	ace-000-045	pasai	p a s a i	pasai	pasai
ace	ace-000-050	i	i	i	i
ace	ace-000-051	eg	e q̠	eq̠	eɡ
ace	ace-000-052	aneuk	a n e u k	aneuk	aneuk
ace	ace-000-053	u	u	u	u
ace	ace-000-061	bangã	b a n q̠ ã	banq̠ã	baŋã
ady	ady-000-001	badzǎ	b a d z a	badza	badza
ady	ady-000-002	i̭ədzǎn	i ə d z a n	iədzan	iədzan
ady	ady-000-003	bǎdzǎr	b a d z a r	badzar	badzar
ady	ady-000-004	bədzə	b ə d z ə	bədzə	bədzə
ady	ady-000-006	tsə	t s ə	tsə	tsə
ady	ady-000-007	tsəzǎ	t s ə z a	tsəza	tsəza
ady	ady-000-008	tsǎ	t s a	tsa	tsa
ady	ady-000-011	ṷətsə	u ə t s ə	uətsə	uətsə
ady	ady-000-012	tsʼ	t sʼ	tsʼ	tsʼ
ady	ady-000-013	tsʼǎ	t sʼ a	tsʼa	tsʼa
ady	ady-000-014	tsʼəfə	t sʼ ə f ə	tsʼəfə	tsʼəfə
ady	ady-000-015	tsʼəkʷʼ	t sʼ ə kʷʼ	tsʼəkʷʼ	tsʼəkʷʼ
ady	ady-000-017	tɕǎtsʼə	t ɕ a t sʼ ə	tɕatsʼə	tɕatsʼə
ady	ady-000-018	matsʼǎ	m a t sʼ a	matsʼa	matsʼa
ady	ady-000-019	ptsʼə	p t sʼ ə	ptsʼə	ptsʼə
ady	ady-000-020	ptsʼaʃχṷǎ	p t sʼ a ʃ χ u a	ptsʼaʃχua	ptsʼaʃχua
ady	ady-000-021	ħamtsʼəj	ħ a m t sʼ ə j	ħamtsʼəj	ħamtsʼəj
ady	ady-000-022	ptsʼǎʁṷǎpɬ	p t sʼ a ʁ u a p ɬ	ptsʼaʁuapɬ	ptsʼaʁuapɬ
ady	ady-000-024	tsʾǎ	t s a	tsa	tsa
ady	ady-000-025	tsʾəʁṷǎ	t s ə ʁ u a	tsəʁua	tsəʁua
ady	ady-000-026	tsʾəħǎ	t s ə ħ a	tsəħa	tsəħa
ady	ady-000-027	pʾtsʾə	p t s ə	ptsə	ptsə
ady	ady-000-030	tsə	t s ə	tsə	tsə
ady	ady-000-031	tsʾǎ	t s a	tsa	tsa
ady	ady-000-032	tsəzǎ	t s ə z a	tsəza	tsəza
ady	ady-000-033	tsʾəʁṷǎ	t s ə ʁ u a	tsəʁua	tsəʁua
ady	ady-000-035	i̭ǎdʑǎn	i a d ʑ a n	iadʑan	iadʑan
ady	ady-000-037	bzadʑǎ	b z a d ʑ a	bzadʑa	bzadʑa
ady	ady-000-039	tɕǎtsʼə	t ɕ a t sʼ ə	tɕatsʼə	tɕatsʼə
ady	ady-000-040	tɕə	t ɕ ə	tɕə	tɕə
ady	ady-000-041	tṷətɕan	t u ə t ɕ a n	tuətɕan	tuətɕan
ady	ady-000-042	tɕǎfə	t ɕ a f ə	tɕafə	tɕafə
ady	ady-000-043	tɕəɮ	t ɕ ə ɮ	tɕəɮ	tɕəɮ
ady	ady-000-044	tɕən	t ɕ ə n	tɕən	tɕən
ady	ady-000-045	tɕʼ	t ɕʼ	tɕʼ	tɕʼ
ady	ady-000-046	tɕʼaɮǎ	t ɕʼ a ɮ a	tɕʼaɮa	tɕʼaɮa
ady	ady-000-047	matɕʼǎ	m a t ɕʼ a	matɕʼa	matɕʼa
ady	ady-000-048	ṷənatɕʼǎ	u ə n a t ɕʼ a	uənatɕʼa	uənatɕʼa
ady	ady-000-049	pʰatɕʼǎ	pʰ a t ɕʼ a	pʰatɕʼa	pʰatɕʼa
ady	ady-000-050	ħatɕʼǎ	ħ a t ɕʼ a	ħatɕʼa	ħatɕʼa
ady	ady-000-051	tɕʼasǎ	t ɕʼ a s a	tɕʼasa	tɕʼasa
ady	ady-000-052	nǎtɕʼə	n a t ɕʼ ə	natɕʼə	natɕʼə
ady	ady-000-053	tɕʾ	t ɕ	tɕ	tɕ
ady	ady-000-054	tɕʾǎɕə	t ɕ a ɕ ə	tɕaɕə	tɕaɕə
ady	ady-000-055	tɕʾǎmə	t ɕ a m ə	tɕamə	tɕamə
ady	ady-000-056	tɕʾǎtə	t ɕ a t ə	tɕatə	tɕatə
ady	ady-000-057	tṷətɕʾan	t u ə t ɕ a n	tuətɕan	tuətɕan
ady	ady-000-058	tɕʾǎtəw	t ɕ a t ə w	tɕatəw	tɕatəw
ady	ady-000-061	ɬǎɡʷandʑǎ	ɬ a ɡʷ a n d ʑ a	ɬaɡʷandʑa	ɬaɡʷandʑa
ady	ady-000-062	i̭ǎbǎdʑəʁ	i a b a d ʑ ə ʁ	iabadʑəʁ	iabadʑəʁ
ady	ady-000-063	ɬǎɡʷandʑǎ	ɬ a ɡʷ a n d ʑ a	ɬaɡʷandʑa	ɬaɡʷandʑa
ady	ady-000-064	i̭ǎbǎdʑəʁ	i a b a d ʑ ə ʁ	iabadʑəʁ	iabadʑəʁ
ady	ady-000-066	aqʰəɮəntʃǎ	a qʰ ə ɮ ə n t͡ʃ a	aqʰəɮənt͡ʃa	aqʰəɮənt͡ʃa
ady	ady-000-067	tʃəɣə	t͡ʃ ə ɣ ə	t͡ʃəɣə	t͡ʃəɣə
ady	ady-000-068	tʃəi̭ǎn	t͡ʃ ə i a n	t͡ʃəian	t͡ʃəian
ady	ady-000-069	atʃǎ	a t͡ʃ a	at͡ʃa	at͡ʃa
ady	ady-000-070	tʃi̭ǎn	t͡ʃ i a n	t͡ʃian	t͡ʃian
ady	ady-000-071	tʃəʔǎ	t͡ʃ ə ʔ a	t͡ʃəʔa	t͡ʃəʔa
ady	ady-000-072	tʃʼ	t͡ʃʼ	t͡ʃʼ	t͡ʃʼ
ady	ady-000-073	tʃʼǎ	t͡ʃʼ a	t͡ʃʼa	t͡ʃʼa
ady	ady-000-074	kʷʼatʃʼǎ	kʷʼ a t͡ʃʼ a	kʷʼat͡ʃʼa	kʷʼat͡ʃʼa
ady	ady-000-075	ʁʷtʃʼə	ʁʷ t͡ʃʼ ə	ʁʷt͡ʃʼə	ʁʷt͡ʃʼə
ady	ady-000-076	qʰʷantʃʼǎ	qʰʷ a n t͡ʃʼ a	qʰʷant͡ʃʼa	qʰʷant͡ʃʼa
ady	ady-000-077	tʃʼəbʑ	t͡ʃʼ ə b ʑ	t͡ʃʼəbʑ	t͡ʃʼəbʑ
ady	ady-000-084	tʃʾ	t͡ʃ	t͡ʃ	t͡ʃ
ady	ady-000-085	tʃʾəɣə	t͡ʃ ə ɣ ə	t͡ʃəɣə	t͡ʃəɣə
ady	ady-000-086	tʃʾəi̭ǎn	t͡ʃ ə i a n	t͡ʃəian	t͡ʃəian
ady	ady-000-087	tʃʾǎn	t͡ʃ a n	t͡ʃan	t͡ʃan
ady	ady-000-088	atʃʾǎ	a t͡ʃ a	at͡ʃa	at͡ʃa
ady	ady-000-089	ptʃʾaʁǎ	p t͡ʃ a ʁ a	pt͡ʃaʁa	pt͡ʃaʁa
ady	ady-000-090	ptʃʾǎ	p t͡ʃ a	pt͡ʃa	pt͡ʃa
ady	ady-000-091	ptʃǎpsə	p t͡ʃ a p s ə	pt͡ʃapsə	pt͡ʃapsə
ady	ady-000-092	ɮantʃǎ	ɮ a n t͡ʃ a	ɮant͡ʃa	ɮant͡ʃa
ady	ady-000-093	atʃʾǎ	a t͡ʃ a	at͡ʃa	at͡ʃa
ady	ady-000-094	aqʰəɮəntʃǎ	a qʰ ə ɮ ə n t͡ʃ a	aqʰəɮənt͡ʃa	aqʰəɮənt͡ʃa
ady	ady-000-095	tʃʾəi̭ǎn	t͡ʃ ə i a n	t͡ʃəian	t͡ʃəian
ady	ady-000-096	aqʰəɮəntʃǎ	a qʰ ə ɮ ə n t͡ʃ a	aqʰəɮənt͡ʃa	aqʰəɮənt͡ʃa
ady	ady-000-097	tʃʾəi̭ǎn	t͡ʃ ə i a n	t͡ʃəian	t͡ʃəian
ady	ady-000-098	ɡʷapʰǎ	ɡʷ a pʰ a	ɡʷapʰa	ɡʷapʰa
ady	ady-000-099	ɡʷbʁṷǎ	ɡʷ b ʁ u a	ɡʷbʁua	ɡʷbʁua
ady	ady-000-100	ʁṷǎɡʷ	ʁ u a ɡʷ	ʁuaɡʷ	ʁuaɡʷ
ady	ady-000-101	ɕaɡʷ	ɕ a ɡʷ	ɕaɡʷ	ɕaɡʷ
ady	ady-000-102	ɡʷaɕǎ	ɡʷ a ɕ a	ɡʷaɕa	ɡʷaɕa
ady	ady-000-103	kʰʷṷə	kʰʷ u ə	kʰʷuə	kʰʷuə
ady	ady-000-104	kʰʷtsʼə	kʰʷ t sʼ ə	kʰʷtsʼə	kʰʷtsʼə
ady	ady-000-105	kʰʷpsǎ	kʰʷ p s a	kʰʷpsa	kʰʷpsa
ady	ady-000-106	kʰʷandǎ	kʰʷ a n d a	kʰʷanda	kʰʷanda
ady	ady-000-107	bzakʰʷǎ	b z a kʰʷ a	bzakʰʷa	bzakʰʷa
ady	ady-000-110	kʰʷ	kʰʷ	kʰʷ	kʰʷ
ady	ady-000-111	kʰʷǎtsə	kʰʷ a t s ə	kʰʷatsə	kʰʷatsə
ady	ady-000-112	kʰʷǎnə	kʰʷ a n ə	kʰʷanə	kʰʷanə
ady	ady-000-113	kʷʼǎtsʼ	kʷʼ a t sʼ	kʷʼatsʼ	kʷʼatsʼ
ady	ady-000-114	kʷʼatʃʼǎ	kʷʼ a t͡ʃʼ a	kʷʼat͡ʃʼa	kʷʼat͡ʃʼa
ady	ady-000-115	kʷʼǎn	kʷʼ a n	kʷʼan	kʷʼan
ady	ady-000-118	tʼǎkʷʼ	tʼ a kʷʼ	tʼakʷʼ	tʼakʷʼ
ady	ady-000-119	kʷʾǎtsə	kʷ a t s ə	kʷatsə	kʷatsə
ady	ady-000-121	kʷʾʑǎ	kʷ ʑ a	kʷʑa	kʷʑa
ady	ady-000-122	kʷʾamǎ	kʷ a m a	kʷama	kʷama
ady	ady-000-123	kʷʾaχṷǎ	kʷ a χ u a	kʷaχua	kʷaχua
ady	ady-000-125	kʷʾamǎ	kʷ a m a	kʷama	kʷama
ady	ady-000-126	kʷʾamǎ	kʷ a m a	kʷama	kʷama
ady	ady-000-128	qʰətsǎ	qʰ ə t s a	qʰətsa	qʰətsa
ady	ady-000-129	qʰǎkʷʼǎn	qʰ a kʷʼ a n	qʰakʷʼan	qʰakʷʼan
ady	ady-000-130	maqʰǎ	m a qʰ a	maqʰa	maqʰa
ady	ady-000-131	pqʰə	p qʰ ə	pqʰə	pqʰə
ady	ady-000-132	bɮəpqʰ	b ɮ ə p qʰ	bɮəpqʰ	bɮəpqʰ
ady	ady-000-133	dǎpqʰə	d a p qʰ ə	dapqʰə	dapqʰə
ady	ady-000-134	maqʰǎ	m a qʰ a	maqʰa	maqʰa
ady	ady-000-135	dǎpqʰə	d a p qʰ ə	dapqʰə	dapqʰə
ady	ady-000-136	qʰʷǎ	qʰʷ a	qʰʷa	qʰʷa
ady	ady-000-137	qʷʾǎ	qʷ a	qʷa	qʷa
ady	ady-000-138	qʰʷə	qʰʷ ə	qʰʷə	qʰʷə
ady	ady-000-139	qʰʷai̭ǎ	qʰʷ a i a	qʰʷaia	qʰʷaia
ady	ady-000-141	ʔanǎ	ʔ a n a	ʔana	ʔana
ady	ady-000-142	ɡʷəɕəʔǎ	ɡʷ ə ɕ ə ʔ a	ɡʷəɕəʔa	ɡʷəɕəʔa
ady	ady-000-143	ʔazǎ	ʔ a z a	ʔaza	ʔaza
ady	ady-000-144	ʔatǎ	ʔ a t a	ʔata	ʔata
ady	ady-000-146	ʔʷntɕʼəbzǎ	ʔʷ n t ɕʼ ə b z a	ʔʷntɕʼəbza	ʔʷntɕʼəbza
ady	ady-000-147	ʔʷaħǎ	ʔʷ a ħ a	ʔʷaħa	ʔʷaħa
ady	ady-000-148	pχǎṷəʔʷ	p χ a u ə ʔʷ	pχauəʔʷ	pχauəʔʷ
ady	ady-000-149	ʔʷǎfə	ʔʷ a f ə	ʔʷafə	ʔʷafə
aeb	aeb-000-000	baˈxiːl	b a x iː l	baxiːl	baxiːl
aeb	aeb-000-001	ħɑˈlib	ħ ɑ l i b	ħɑlib	ħɑlib
aeb	aeb-000-002	tiːn	t iː n	tiːn	tiːn
aeb	aeb-000-003	taˈmar	t a m a r	tamar	tamar
aeb	aeb-000-006	ˈdarabə	d a r a b ə	darabə	darabə
aeb	aeb-000-007	ˈaraːbə	a r aː b ə	araːbə	araːbə
aeb	aeb-000-009	kuˈraːsəton	k u r aː s ə t o n	kuraːsəton	kuraːsəton
aeb	aeb-000-011	ˈwaːqafə	w aː q a f ə	waːqafə	waːqafə
aeb	aeb-000-015	meil	m e i l	meil	meil
aeb	aeb-000-021	ˈðelə	ð e l ə	ðelə	ðelə
aeb	aeb-000-022	ˈð̴ələ	ð ə l ə	ðələ	ðələ
aeb	aeb-000-023	ˈserir	s e r i r	serir	serir
aeb	aeb-000-024	ˈs̴arir	s a r i r	sarir	sarir
aeb	aeb-000-025	ʃein	ʃ e i n	ʃein	ʃein
aeb	aeb-000-026	ʃaʕb	ʃ a ʕ b	ʃaʕb	ʃaʕb
aeb	aeb-000-029	ʒauz	ʒ a u z	ʒauz	ʒauz
aeb	aeb-000-030	raʒuˈlon	r a ʒ u l o n	raʒulon	raʒulon
aeb	aeb-000-031	ˈxaːli	x aː l i	xaːli	xaːli
aeb	aeb-000-032	ˈxæːfəxə	x æː f ə x ə	xæːfəxə	xæːfəxə
aeb	aeb-000-033	ˈæxadə	æ x a d ə	æxadə	æxadə
aeb	aeb-000-034	ˈɣalabə	ɣ a l a b ə	ɣalabə	ɣalabə
aeb	aeb-000-035	ˈɣaːli	ɣ aː l i	ɣaːli	ɣaːli
aeb	aeb-000-039	ʕain	ʕ a i n	ʕain	ʕain
aeb	aeb-000-040	ʕadə	ʕ a d ə	ʕadə	ʕadə
aeb	aeb-000-041	ˈnabahə	n a b a h ə	nabahə	nabahə
aeb	aeb-000-042	ˈhæmisə	h æ m i s ə	hæmisə	hæmisə
aeb	aeb-000-043	ˈwaːsaʕ	w aː s a ʕ	waːsaʕ	waːsaʕ
aeb	aeb-000-045	wə	w ə	wə	wə
aeb	aeb-000-046	jəktɯbu	j ə k t ɯ b u	jəktɯbu	wəktɯb
aeb	aeb-000-047	raʒuˈlon	r a ʒ u l o n	raʒulon	raʒulon
aeb	aeb-000-048	ækælə	æ k æ l ə	ækælə	ækælə
aeb	aeb-000-049	sæʔələ	s æ ʔ ə l ə	sæʔələ	sæʔələ
aeb	aeb-000-050	æːmənə	æː m ə n ə	æːmənə	æːmənə
aeb	aeb-000-051	sæːʔələ	s æː ʔ ə l ə	sæːʔələ	sæːʔələ
aeb	aeb-000-053	sæʔimə	s æ ʔ i m ə	sæʔimə	sæʔimə
aeb	aeb-000-054	iːmæn	iː m æ n	iːmæn	iːmæn
aeb	aeb-000-055	sæʔiːm	s æ ʔ iː m	sæʔiːm	sæʔiːm
aeb	aeb-000-057	bəʔs	b ə ʔ s	bəʔs	bəʔs
aeb	aeb-000-059	rəʔuːs	r ə ʔ uː s	rəʔuːs	rəʔuːs
aeb	aeb-000-060	aiqað̴ə	a i q a ð ə	aiqaðə	aiqaðə
aeb	aeb-000-061	au	a u	au	au
aeb	aeb-000-062	auʃaː	a u ʃ aː	auʃaː	auʃaː
afn	afn-005-001	párà	p a r a	para	para
afn	afn-005-002	pèkù	p e k u	peku	peku
afn	afn-005-006	ìbò	i b o	ibo	ibo
afn	afn-005-008	ɓátà	ɓ a t a	ɓata	ɓata
afn	afn-005-009	ɓáá	ɓ a a	ɓaa	ɓaa
afn	afn-005-010	èɓè	e ɓ e	eɓe	eɓe
afn	afn-005-011	bìè	b i e	bie	bie
afn	afn-005-012	táátó	t a a t o	taato	taato
afn	afn-005-013	ìtà	i t a	ita	ita
afn	afn-005-014	àtaɲà	a t a ɲ a	ataɲa	ataɲa
afn	afn-005-015	ètéɲà	e t e ɲ a	eteɲa	eteɲa
afn	afn-005-017	dɛ̃́ɛ̃́	d ɛ̃ ɛ̃	dɛ̃ɛ̃	dɛ̃ɛ̃
afn	afn-005-018	ìdò	i d o	ido	ido
afn	afn-005-020	káà	k a a	kaa	kaa
afn	afn-005-022	àkàdà	a k a d a	akada	akada
afn	afn-005-023	ɓéké	ɓ e k e	ɓeke	ɓeke
afn	afn-005-024	àɡárà	a ɡ a r a	aɡara	aɡara
afn	afn-005-029	kpìkpìkì	k p i k p i k i	kpikpiki	kpikpiki
afn	afn-005-030	ákpánákpá	a k p a n a k p a	akpanakpa	akpanakpa
afn	afn-005-031	àɡbà	a ɡ b a	aɡba	aɡba
afn	afn-005-032	ŋm̀ɡbé	ŋ m ɡ b e	ŋmɡbe	ŋmɡbe
afn	afn-005-033	èɡbèlèɡbè	e ɡ b e l e ɡ b e	eɡbeleɡbe	eɡbeleɡbe
afn	afn-005-034	ɔ̃́ŋmɡbĩ̀ã̀	ɔ̃ ŋ m ɡ b ĩ ã	ɔ̃ŋmɡbĩã	ɔ̃ŋmɡbĩã
afn	afn-005-035	àrɪ̀	a r ɪ	arɪ	arɪ
afn	afn-005-037	ìrì	i r i	iri	iri
afn	afn-005-038	fàà	f a a	faa	faa
afn	afn-005-039	fɛ́rɛ́fɛ́rɛ́	f ɛ r ɛ f ɛ r ɛ	fɛrɛfɛrɛ	fɛrɛfɛrɛ
afn	afn-005-040	áfààmà	a f a a m a	afaama	afaama
afn	afn-005-041	èbèrè	e b e r e	ebere	ebere
afn	afn-005-042	ɛ̀wɛ̀rɛ̀	ɛ w ɛ r ɛ	ɛwɛrɛ	ɛwɛrɛ
afn	afn-005-043	òfòrò	o f o r o	oforo	oforo
afn	afn-005-045	válà	v a l a	vala	vala
afn	afn-005-046	èvè	e v e	eve	eve
afn	afn-005-047	ídʒá	i d͡ʒ a	id͡ʒa	id͡ʒa
afn	afn-005-048	ìdʒè	i d͡ʒ e	id͡ʒe	id͡ʒe
afn	afn-005-049	ádʒáréori	a d͡ʒ a r e o r i	ad͡ʒareori	ad͡ʒari
afn	afn-005-050	álàɣà	a l a ɣ a	alaɣa	alaɣa
afn	afn-005-051	lɛ̀lɛ̀	l ɛ l ɛ	lɛlɛ	lɛlɛ
afn	afn-005-052	lòm̀	l o m	lom	lom
afn	afn-005-053	nṍḿ	n õ m	nõm	nõm
afn	afn-005-054	àlìlá	a l i l a	alila	alila
afn	afn-005-055	jáà	j a a	jaa	jaa
afn	afn-005-056	jɛ̀ɛ̀	j ɛ ɛ	jɛɛ	jɛɛ
afn	afn-005-057	ɔ́jɔ́	ɔ j ɔ	ɔjɔ	ɔjɔ
afn	afn-005-058	bã́j̃ã́	b ã j̃ ã	bãj̃ã	bãj̃ã
afn	afn-005-059	ĩ̀j̃ĩ̀j̃ã̀	ĩ j̃ ĩ j̃ ã	ĩj̃ĩj̃ã	ĩj̃ ĩj̃ ã
afn	afn-005-060	wá	w a	wa	wa
afn	afn-005-061	àwò	a w o	awo	awo
afn	afn-005-062	ɛ̀wɛ̀rɛ̀	ɛ w ɛ r ɛ	ɛwɛrɛ	ɛwɛrɛ
afn	afn-005-063	ɛ́w̃ɛ̃́	ɛ w̃ ɛ̃	ɛw̃ɛ̃	ɛw̃ɛ̃
afn	afn-005-064	ìbì	i b i	ibi	ibi
afn	afn-005-065	ììma	i i m a	iima	iima
afn	afn-005-066	ólàtí	o l a t i	olati	olati
afn	afn-005-067	èè	e e	ee	ee
afn	afn-005-068	èbè	e b e	ebe	ebe
afn	afn-005-069	tèè	t e e	tee	tee
afn	afn-005-070	íbà	i b a	iba	iba
afn	afn-005-071	ìbà	i b a	iba	iba
afn	afn-005-072	àálà	a a l a	aala	aala
